Tracker Experiment Results 31-Oct-2014
LEFT_FOOT
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
2.3	218.3755	148.7854	91.8144	0.7106 	 -0.3630 	 0.5404 	 0.2670 	1.9113 	 0.6115 	 1.3835 	 
2.35	218.3472	148.8027	91.802	0.7103 	 -0.3629 	 0.5408 	 0.2671 	1.9101 	 0.6118 	 1.3844 	 
2.36	218.327	148.8486	91.7805	0.7105 	 -0.3629 	 0.5407 	 0.2667 	1.9109 	 0.6122 	 1.3841 	 
2.37	218.3001	148.8325	91.7932	0.7107 	 -0.3631 	 0.5404 	 0.2665 	1.9119 	 0.6122 	 1.3837 	 
2.39	218.2838	148.8539	91.7675	0.7105 	 -0.3629 	 0.5409 	 0.2666 	1.9108 	 0.6127 	 1.3844 	 
2.4	218.2585	148.8679	91.7686	0.7105 	 -0.3628 	 0.5410 	 0.2665 	1.9108 	 0.6130 	 1.3845 	 
2.41	218.2419	148.888	91.7449	0.7103 	 -0.3628 	 0.5412 	 0.2665 	1.9101 	 0.6132 	 1.3851 	 
2.44	218.1259	148.9699	91.7146	0.7102 	 -0.3624 	 0.5418 	 0.2659 	1.9095 	 0.6149 	 1.3859 	 
2.46	218.0456	148.995	91.7017	0.7103 	 -0.3623 	 0.5420 	 0.2655 	1.9098 	 0.6158 	 1.3860 	 
2.48	217.9694	149.0259	91.6595	0.7099 	 -0.3622 	 0.5426 	 0.2654 	1.9084 	 0.6164 	 1.3874 	 
2.5	217.9258	149.0478	91.653	0.7097 	 -0.3622 	 0.5430 	 0.2653 	1.9076 	 0.6168 	 1.3883 	 
2.51	217.8823	149.1013	91.6405	0.7099 	 -0.3620 	 0.5430 	 0.2649 	1.9085 	 0.6177 	 1.3879 	 
2.55	217.7587	149.1239	91.6081	0.7098 	 -0.3622 	 0.5433 	 0.2641 	1.9087 	 0.6187 	 1.3891 	 
2.57	217.6938	149.1604	91.5893	0.7098 	 -0.3623 	 0.5434 	 0.2638 	1.9091 	 0.6192 	 1.3894 	 
2.58	217.6591	149.1404	91.593	0.7098 	 -0.3623 	 0.5434 	 0.2639 	1.9088 	 0.6190 	 1.3894 	 
2.6	217.6533	149.1709	91.5666	0.7097 	 -0.3623 	 0.5436 	 0.2638 	1.9086 	 0.6192 	 1.3899 	 
2.61	217.6289	149.2042	91.5769	0.7097 	 -0.3623 	 0.5437 	 0.2637 	1.9085 	 0.6196 	 1.3902 	 
2.62	217.6274	149.1829	91.5544	0.7096 	 -0.3624 	 0.5437 	 0.2637 	1.9083 	 0.6193 	 1.3903 	 
2.64	217.6482	149.2181	91.5541	0.7095 	 -0.3624 	 0.5437 	 0.2640 	1.9079 	 0.6188 	 1.3904 	 
2.66	217.6551	149.1943	91.5745	0.7097 	 -0.3624 	 0.5434 	 0.2639 	1.9088 	 0.6189 	 1.3896 	 
2.68	217.6897	149.1515	91.6029	0.7096 	 -0.3627 	 0.5432 	 0.2641 	1.9088 	 0.6180 	 1.3898 	 
2.69	217.7204	149.1413	91.5882	0.7093 	 -0.3628 	 0.5434 	 0.2645 	1.9077 	 0.6174 	 1.3904 	 
2.7	217.7547	149.1527	91.5932	0.7095 	 -0.3628 	 0.5431 	 0.2646 	1.9083 	 0.6170 	 1.3898 	 
2.74	217.9179	149.0677	91.6442	0.7093 	 -0.3633 	 0.5424 	 0.2659 	1.9079 	 0.6141 	 1.3891 	 
2.76	218.0908	148.9525	91.7032	0.7093 	 -0.3639 	 0.5415 	 0.2669 	1.9082 	 0.6113 	 1.3883 	 
2.78	218.308	148.816	91.7663	0.7095 	 -0.3646 	 0.5402 	 0.2680 	1.9095 	 0.6080 	 1.3864 	 
2.79	218.4115	148.7834	91.8387	0.7100 	 -0.3648 	 0.5394 	 0.2679 	1.9116 	 0.6073 	 1.3849 	 
2.8	218.5236	148.7602	91.9174	0.7106 	 -0.3650 	 0.5385 	 0.2679 	1.9139 	 0.6064 	 1.3829 	 
2.85	219.7397	148.1167	92.9886	0.7140 	 -0.3625 	 0.5353 	 0.2688 	1.9216 	 0.6060 	 1.3698 	 
2.86	220.4996	148.1938	93.9013	0.7151 	 -0.3592 	 0.5342 	 0.2724 	1.9191 	 0.6045 	 1.3611 	 
2.89	223.5139	149.2506	98.4544	0.7211 	 -0.3528 	 0.5247 	 0.2833 	1.9260 	 0.5905 	 1.3271 	 
2.9	224.4891	149.4023	100.4171	0.7252 	 -0.3497 	 0.5197 	 0.2859 	1.9347 	 0.5870 	 1.3094 	 
2.94	230.2884	151.6027	109.2509	0.7406 	 -0.3316 	 0.5013 	 0.3005 	1.9577 	 0.5743 	 1.2341 	 
2.95	231.2614	154.8789	112.6378	0.7728 	 -0.3327 	 0.4723 	 0.2628 	2.0942 	 0.5884 	 1.1596 	 
2.97	235.5071	156.7321	118.663	0.7806 	 -0.3316 	 0.4595 	 0.2640 	2.1197 	 0.5731 	 1.1308 	 
2.99	239.649	156.7932	122.1814	0.7609 	 -0.3063 	 0.4759 	 0.3174 	1.9905 	 0.5583 	 1.1332 	 
3	241.7865	157.8611	124.4709	0.7595 	 -0.3008 	 0.4744 	 0.3281 	1.9742 	 0.5506 	 1.1231 	 
3.03	249.4902	162.7495	132.0636	0.7670 	 -0.2965 	 0.4589 	 0.3366 	1.9910 	 0.5286 	 1.0852 	 
3.06	258.4585	166.6675	138.3003	0.7617 	 -0.3011 	 0.4483 	 0.3579 	1.9678 	 0.4864 	 1.0800 	 
3.09	251.7222	155.2444	224.1341	-0.3526 	 0.6516 	 0.6715 	 0.0136 	-1.6810 	 -0.4733 	 2.5751 	 
3.11	257.703	160.0704	226.8384	-0.3540 	 0.6499 	 0.6723 	 0.0185 	-1.6779 	 -0.4689 	 2.5668 	 
3.13	264.1433	164.7454	228.7188	-0.3583 	 0.6455 	 0.6740 	 0.0253 	-1.6719 	 -0.4672 	 2.5517 	 
3.15	271.0114	168.9225	230.1376	-0.3596 	 0.6414 	 0.6769 	 0.0332 	-1.6618 	 -0.4602 	 2.5410 	 
3.17	278.6696	173.1791	231.1639	-0.3698 	 0.6363 	 0.6761 	 0.0351 	-1.6644 	 -0.4728 	 2.5205 	 
3.18	282.7796	175.3818	231.412	-0.3701 	 0.6349 	 0.6770 	 0.0402 	-1.6607 	 -0.4669 	 2.5139 	 
3.24	309.206	186.6578	231.8744	-0.3950 	 0.6238 	 0.6726 	 0.0494 	-1.6732 	 -0.4890 	 2.4555 	 
3.35	361.3135	193.1954	230.331	-0.4294 	 0.6107 	 0.6621 	 0.0657 	-1.7025 	 -0.5102 	 2.3653 	 
3.38	376.3895	191.6709	229.7195	-0.4336 	 0.6119 	 0.6583 	 0.0644 	-1.7148 	 -0.5145 	 2.3562 	 
3.4	386.3801	190.642	229.4258	-0.4379 	 0.6130 	 0.6549 	 0.0608 	-1.7271 	 -0.5224 	 2.3502 	 
3.43	401.8615	187.8866	228.5833	-0.4372 	 0.6197 	 0.6492 	 0.0582 	-1.7448 	 -0.5184 	 2.3508 	 
3.47	421.9516	183.4576	227.4001	-0.4416 	 0.6263 	 0.6403 	 0.0523 	-1.7737 	 -0.5236 	 2.3435 	 
3.49	431.5188	181.0254	226.7091	-0.4407 	 0.6279 	 0.6393 	 0.0530 	-1.7760 	 -0.5200 	 2.3438 	 
3.52	446.372	177.4679	225.02	-0.4391 	 0.6333 	 0.6346 	 0.0586 	-1.7867 	 -0.5041 	 2.3377 	 
3.65	545.8359	167.3289	128.3305	0.6336 	 -0.3665 	 0.5324 	 0.4251 	1.6478 	 0.3716 	 1.3934 	 
3.67	550.6934	172.6308	127.3012	0.6558 	 -0.3540 	 0.5518 	 0.3743 	1.6958 	 0.4767 	 1.4122 	 
3.71	562.3323	182.5826	125.8594	0.6932 	 -0.3652 	 0.5370 	 0.3124 	1.8402 	 0.5426 	 1.3871 	 
3.73	569.268	181.4897	122.3084	0.6653 	 -0.3839 	 0.5349 	 0.3520 	1.7728 	 0.4571 	 1.4219 	 
3.74	573.1442	179.3195	119.8935	0.6452 	 -0.3921 	 0.5370 	 0.3763 	1.7240 	 0.4090 	 1.4443 	 
3.77	581.7368	176.2466	113.3745	0.5999 	 -0.3915 	 0.5583 	 0.4185 	1.5987 	 0.3492 	 1.4962 	 
3.8	587.9025	169.333	105.8459	0.5874 	 -0.3803 	 0.5838 	 0.4117 	1.5486 	 0.3820 	 1.5394 	 
3.83	574.5702	192.4955	111.2095	0.5866 	 -0.3998 	 0.5699 	 0.4139 	1.5791 	 0.3444 	 1.5382 	 
3.85	573.4246	188.5112	107.7166	0.5871 	 -0.4006 	 0.5659 	 0.4178 	1.5818 	 0.3360 	 1.5299 	 
3.86	573.5577	186.6918	107.2	0.5917 	 -0.4046 	 0.5560 	 0.4207 	1.5999 	 0.3232 	 1.5135 	 
3.9	569.6821	200.378	114.3691	0.6074 	 -0.4181 	 0.5300 	 0.4188 	1.6624 	 0.2980 	 1.4779 	 
3.92	568.3861	203.3836	116.0653	0.6098 	 -0.4207 	 0.5261 	 0.4177 	1.6729 	 0.2944 	 1.4739 	 
3.95	615.7952	118.7615	103.4639	0.5706 	 -0.0998 	 0.7351 	 0.3523 	1.0307 	 0.8765 	 1.7288 	 
3.97	617.9544	115.3918	101.4947	0.5682 	 -0.0930 	 0.7513 	 0.3224 	0.9836 	 0.9172 	 1.8138 	 
4	617.7421	116.3516	101.1134	0.5658 	 -0.0911 	 0.7526 	 0.3242 	0.9731 	 0.9151 	 1.8185 	 
4.01	617.666	116.603	101.0645	0.5648 	 -0.0908 	 0.7532 	 0.3247 	0.9695 	 0.9140 	 1.8208 	 
4.03	597.7049	140.0231	87.924	0.6257 	 -0.4343 	 0.5088 	 0.4013 	1.7389 	 0.2924 	 1.4609 	 
4.06	597.9207	138.9449	88.5571	0.6301 	 -0.4390 	 0.5047 	 0.3943 	1.7595 	 0.2941 	 1.4607 	 
4.08	598.0198	138.6422	88.4241	0.6309 	 -0.4404 	 0.5028 	 0.3939 	1.7641 	 0.2916 	 1.4595 	 
4.11	597.9038	138.9735	88.3004	0.6295 	 -0.4389 	 0.5054 	 0.3945 	1.7576 	 0.2943 	 1.4621 	 
4.13	597.8197	139.2421	88.2261	0.6289 	 -0.4374 	 0.5066 	 0.3956 	1.7533 	 0.2954 	 1.4619 	 
4.18	597.9011	139.5296	88.172	0.6284 	 -0.4352 	 0.5071 	 0.3982 	1.7479 	 0.2950 	 1.4589 	 
4.19	597.9718	139.5415	88.2305	0.6289 	 -0.4351 	 0.5068 	 0.3978 	1.7492 	 0.2955 	 1.4581 	 
4.2	598.0534	139.6344	88.2557	0.6293 	 -0.4347 	 0.5069 	 0.3975 	1.7495 	 0.2968 	 1.4574 	 
4.22	598.1767	139.4934	88.2992	0.6307 	 -0.4355 	 0.5052 	 0.3968 	1.7545 	 0.2959 	 1.4552 	 
4.25	598.3508	139.1973	88.4278	0.6328 	 -0.4372 	 0.5023 	 0.3952 	1.7632 	 0.2944 	 1.4523 	 
4.26	598.401	139.1421	88.4931	0.6329 	 -0.4372 	 0.5024 	 0.3949 	1.7636 	 0.2949 	 1.4526 	 
4.27	598.3999	139.0236	88.5232	0.6338 	 -0.4377 	 0.5011 	 0.3945 	1.7669 	 0.2941 	 1.4509 	 
4.29	598.5333	138.7632	88.5537	0.6351 	 -0.4391 	 0.4991 	 0.3935 	1.7729 	 0.2926 	 1.4490 	 
4.3	598.5253	138.7221	88.6217	0.6350 	 -0.4386 	 0.4996 	 0.3933 	1.7720 	 0.2938 	 1.4493 	 
4.31	598.5833	138.5942	88.6502	0.6363 	 -0.4396 	 0.4981 	 0.3921 	1.7774 	 0.2933 	 1.4479 	 
4.34	598.6571	138.0525	88.7907	0.6374 	 -0.4397 	 0.4969 	 0.3917 	1.7804 	 0.2931 	 1.4457 	 
