Tracker Experiment Results 03-Nov-2014
BACK
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
4.56	372.1529	-253.4837	1240.5336	0.7059 	 0.0990 	 0.6700 	 -0.2073 	-1.6086 	 1.1310 	 -1.3759 	 
4.57	373.5949	-252.8771	1239.7694	0.7054 	 0.0976 	 0.6712 	 -0.2059 	-1.6044 	 1.1353 	 -1.3803 	 
4.58	374.9728	-252.3177	1238.913	0.7041 	 0.0967 	 0.6730 	 -0.2048 	-1.5954 	 1.1387 	 -1.3895 	 
4.6	377.3757	-251.2625	1237.3554	0.7044 	 0.0943 	 0.6740 	 -0.2015 	-1.5955 	 1.1471 	 -1.3907 	 
4.61	378.9582	-250.4948	1236.5268	0.7020 	 0.0936 	 0.6770 	 -0.2003 	-1.5785 	 1.1506 	 -1.4087 	 
4.62	380.314	-249.8393	1235.6532	0.7001 	 0.0927 	 0.6794 	 -0.1995 	-1.5643 	 1.1536 	 -1.4227 	 
4.63	381.4673	-249.1096	1234.8772	0.7012 	 0.0915 	 0.6789 	 -0.1975 	-1.5713 	 1.1579 	 -1.4170 	 
4.64	382.9179	-248.3255	1233.8559	0.6994 	 0.0905 	 0.6813 	 -0.1960 	-1.5578 	 1.1621 	 -1.4314 	 
4.65	384.3494	-247.6204	1232.8164	0.6984 	 0.0905 	 0.6825 	 -0.1955 	-1.5506 	 1.1629 	 -1.4392 	 
4.66	385.7711	-246.6359	1232.2279	0.6981 	 0.0885 	 0.6836 	 -0.1934 	-1.5464 	 1.1689 	 -1.4437 	 
4.67	387.0413	-245.7192	1231.2957	0.6970 	 0.0886 	 0.6851 	 -0.1923 	-1.5381 	 1.1706 	 -1.4538 	 
4.68	388.555	-244.7926	1230.3476	0.6954 	 0.0876 	 0.6872 	 -0.1908 	-1.5257 	 1.1742 	 -1.4669 	 
4.69	390.0654	-243.7439	1229.3203	0.6954 	 0.0867 	 0.6877 	 -0.1896 	-1.5244 	 1.1773 	 -1.4686 	 
4.7	391.4477	-242.7303	1228.5482	0.6933 	 0.0858 	 0.6903 	 -0.1884 	-1.5076 	 1.1805 	 -1.4858 	 
4.71	393.5483	-241.4448	1227.4386	0.6893 	 0.0835 	 0.6948 	 -0.1876 	-1.4753 	 1.1849 	 -1.5161 	 
4.72	394.2899	-240.7545	1226.5283	0.6930 	 0.0852 	 0.6916 	 -0.1849 	-1.5038 	 1.1865 	 -1.4941 	 
4.73	395.8174	-239.5929	1225.5959	0.6912 	 0.0834 	 0.6937 	 -0.1846 	-1.4889 	 1.1894 	 -1.5069 	 
4.74	398.2228	-238.2141	1224.4665	0.6859 	 0.0808 	 0.6995 	 -0.1837 	-1.4454 	 1.1940 	 -1.5479 	 
4.75	399.7104	-237.0918	1223.3898	0.6840 	 0.0810 	 0.7015 	 -0.1828 	-1.4313 	 1.1948 	 -1.5636 	 
4.76	400.7926	-236.1967	1222.5736	0.6879 	 0.0805 	 0.6985 	 -0.1801 	-1.4583 	 1.1998 	 -1.5399 	 
4.77	402.9624	-234.7016	1221.2895	0.6821 	 0.0792 	 0.7042 	 -0.1803 	-1.4130 	 1.2004 	 -1.5830 	 
