Tracker Experiment Results 03-Nov-2014
LEFT_SHANK
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
1.7	-106.002	146.4625	304.903	0.5769 	 -0.3871 	 0.5778 	 0.4284 	1.5340 	 0.3416 	 1.5361 	 
1.71	-102.6391	148.2712	305.0041	0.5750 	 -0.3920 	 0.5754 	 0.4297 	1.5377 	 0.3308 	 1.5385 	 
1.72	-99.371	150.5175	305.4356	0.5726 	 -0.3945 	 0.5765 	 0.4290 	1.5361 	 0.3277 	 1.5455 	 
1.73	-95.5896	152.2989	305.6662	0.5730 	 -0.3960 	 0.5762 	 0.4276 	1.5394 	 0.3274 	 1.5471 	 
1.74	-91.9671	154.2635	305.8612	0.5711 	 -0.4020 	 0.5736 	 0.4280 	1.5451 	 0.3163 	 1.5510 	 
1.75	-88.4176	156.4923	306.1682	0.5660 	 -0.4064 	 0.5728 	 0.4316 	1.5406 	 0.3022 	 1.5568 	 
1.76	-84.3791	158.2906	306.3009	0.5665 	 -0.4095 	 0.5717 	 0.4295 	1.5470 	 0.3005 	 1.5595 	 
1.77	-80.7495	160.0413	306.5254	0.5639 	 -0.4133 	 0.5710 	 0.4303 	1.5474 	 0.2924 	 1.5641 	 
1.78	-76.7107	162.161	306.744	0.5611 	 -0.4169 	 0.5699 	 0.4319 	1.5471 	 0.2832 	 1.5681 	 
1.79	-72.7909	163.6301	306.8763	0.5601 	 -0.4214 	 0.5681 	 0.4312 	1.5527 	 0.2764 	 1.5716 	 
1.8	-68.9954	165.31	307.052	0.5565 	 -0.4249 	 0.5671 	 0.4338 	1.5506 	 0.2657 	 1.5752 	 
1.81	-64.8617	166.9052	307.2852	0.5550 	 -0.4288 	 0.5658 	 0.4336 	1.5540 	 0.2591 	 1.5791 	 
1.82	-61.0299	168.4155	307.3413	0.5534 	 -0.4313 	 0.5650 	 0.4343 	1.5547 	 0.2534 	 1.5814 	 
1.83	-57.0431	169.6196	307.5514	0.5504 	 -0.4342 	 0.5645 	 0.4358 	1.5531 	 0.2454 	 1.5856 	 
1.84	-51.7054	174.1612	307.9997	0.5607 	 -0.4314 	 0.5719 	 0.4152 	1.5719 	 0.2871 	 1.5983 	 
1.85	-49.1581	172.2394	307.6353	0.5452 	 -0.4402 	 0.5632 	 0.4379 	1.5523 	 0.2306 	 1.5934 	 
1.86	-45.2869	173.26	307.7109	0.5467 	 -0.4409 	 0.5640 	 0.4342 	1.5571 	 0.2360 	 1.5966 	 
1.87	-41.375	174.3738	307.6925	0.5415 	 -0.4445 	 0.5628 	 0.4387 	1.5518 	 0.2213 	 1.6002 	 
1.88	-36.4105	177.5402	308.0143	0.5538 	 -0.4386 	 0.5721 	 0.4167 	1.5689 	 0.2715 	 1.6115 	 
1.89	-33.8519	175.7918	307.6181	0.5396 	 -0.4490 	 0.5630 	 0.4362 	1.5560 	 0.2177 	 1.6088 	 
1.9	-28.3898	179.7527	307.9555	0.5565 	 -0.4377 	 0.5768 	 0.4075 	1.5734 	 0.2893 	 1.6214 	 
1.91	-26.4135	176.7131	307.5161	0.5389 	 -0.4499 	 0.5657 	 0.4326 	1.5561 	 0.2223 	 1.6170 	 
1.92	-22.8041	177.1267	307.7215	0.5399 	 -0.4481 	 0.5689 	 0.4290 	1.5550 	 0.2320 	 1.6211 	 
1.93	-17.7241	180.3748	307.7851	0.5497 	 -0.4434 	 0.5768 	 0.4105 	1.5683 	 0.2734 	 1.6316 	 
1.94	-15.6741	177.5291	307.5264	0.5377 	 -0.4500 	 0.5712 	 0.4268 	1.5535 	 0.2323 	 1.6299 	 
1.95	-12.1432	177.3045	307.2048	0.5370 	 -0.4499 	 0.5712 	 0.4278 	1.5518 	 0.2305 	 1.6296 	 
1.96	-8.7927	177.0576	306.8671	0.5356 	 -0.4500 	 0.5729 	 0.4271 	1.5489 	 0.2313 	 1.6340 	 
1.97	-5.407	176.7417	306.6959	0.5353 	 -0.4496 	 0.5747 	 0.4254 	1.5475 	 0.2349 	 1.6376 	 
1.98	-2.0925	176.4733	306.4213	0.5336 	 -0.4491 	 0.5772 	 0.4247 	1.5429 	 0.2367 	 1.6426 	 
1.99	1.226	176.0825	306.165	0.5346 	 -0.4478 	 0.5798 	 0.4213 	1.5427 	 0.2451 	 1.6464 	 
2	4.4038	175.5819	305.7875	0.5319 	 -0.4490 	 0.5812 	 0.4216 	1.5389 	 0.2421 	 1.6519 	 
2.01	7.6287	175.099	305.4235	0.5335 	 -0.4459 	 0.5850 	 0.4176 	1.5364 	 0.2545 	 1.6556 	 
2.02	10.7205	174.3711	304.8924	0.5299 	 -0.4496 	 0.5849 	 0.4184 	1.5355 	 0.2462 	 1.6621 	 
2.03	13.7907	173.7431	304.3775	0.5305 	 -0.4469 	 0.5893 	 0.4143 	1.5317 	 0.2578 	 1.6681 	 
2.04	16.5828	172.8338	303.6991	0.5268 	 -0.4508 	 0.5891 	 0.4149 	1.5311 	 0.2491 	 1.6749 	 
2.05	19.5208	171.8643	302.9742	0.5274 	 -0.4498 	 0.5929 	 0.4099 	1.5303 	 0.2596 	 1.6825 	 
2.06	22.0938	170.9584	302.2549	0.5247 	 -0.4520 	 0.5935 	 0.4099 	1.5288 	 0.2551 	 1.6881 	 
2.07	24.6617	169.6868	301.4326	0.5246 	 -0.4514 	 0.5966 	 0.4063 	1.5272 	 0.2622 	 1.6947 	 
2.08	26.9482	168.318	300.455	0.5222 	 -0.4521 	 0.5991 	 0.4050 	1.5233 	 0.2625 	 1.7023 	 
2.09	29.2109	166.9074	299.3769	0.5219 	 -0.4506 	 0.6028 	 0.4015 	1.5198 	 0.2707 	 1.7091 	 
2.12	34.6844	161.9537	295.4419	0.5170 	 -0.4462 	 0.6155 	 0.3934 	1.5006 	 0.2894 	 1.7342 	 
2.15	37.9969	155.6515	291.513	0.5139 	 -0.4431 	 0.6274 	 0.3820 	1.4875 	 0.3114 	 1.7610 	 
2.16	38.8734	153.0563	289.8133	0.5148 	 -0.4386 	 0.6320 	 0.3784 	1.4808 	 0.3245 	 1.7657 	 
2.17	39.4196	150.3393	288.1744	0.5136 	 -0.4352 	 0.6364 	 0.3765 	1.4717 	 0.3320 	 1.7719 	 
