Tracker Experiment Results 03-Nov-2014
RIGHT_FOOT
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
2.53	-181.2161	-144.7395	90.5752	0.6709 	 0.4424 	 0.4925 	 -0.3340 	-1.8895 	 0.3740 	 -1.4378 	 
2.54	-180.789	-144.8154	91.3316	0.6715 	 0.4406 	 0.4916 	 -0.3365 	-1.8875 	 0.3723 	 -1.4327 	 
2.55	-180.3453	-144.9243	92.1733	0.6726 	 0.4390 	 0.4899 	 -0.3389 	-1.8874 	 0.3698 	 -1.4260 	 
2.57	-179.2792	-145.2278	93.708	0.6754 	 0.4384 	 0.4851 	 -0.3411 	-1.8939 	 0.3641 	 -1.4149 	 
2.58	-178.7513	-145.3732	94.5663	0.6764 	 0.4373 	 0.4837 	 -0.3424 	-1.8948 	 0.3627 	 -1.4101 	 
2.59	-178.2305	-145.4094	95.6708	0.6776 	 0.4351 	 0.4822 	 -0.3449 	-1.8938 	 0.3611 	 -1.4030 	 
2.6	-177.6161	-145.4394	96.7755	0.6793 	 0.4344 	 0.4794 	 -0.3465 	-1.8971 	 0.3578 	 -1.3959 	 
2.61	-176.8454	-145.5954	97.8973	0.6806 	 0.4339 	 0.4768 	 -0.3481 	-1.8998 	 0.3543 	 -1.3899 	 
2.62	-176.1368	-145.6637	99.0786	0.6817 	 0.4325 	 0.4747 	 -0.3506 	-1.9000 	 0.3512 	 -1.3831 	 
2.63	-175.372	-145.6959	100.4611	0.6838 	 0.4297 	 0.4721 	 -0.3534 	-1.9008 	 0.3489 	 -1.3727 	 
2.64	-174.5171	-145.8862	101.7552	0.6857 	 0.4293 	 0.4687 	 -0.3548 	-1.9052 	 0.3449 	 -1.3652 	 
2.65	-173.6018	-146.0554	103.3041	0.6877 	 0.4279 	 0.4654 	 -0.3569 	-1.9083 	 0.3413 	 -1.3563 	 
2.66	-172.6599	-146.1232	104.9159	0.6897 	 0.4255 	 0.4627 	 -0.3593 	-1.9098 	 0.3389 	 -1.3466 	 
